Province/State,Country,Lat,Long,j21,Confirmed
,Afghanistan,33.93911,67.709953,70016,549934
,Albania,41.1533,20.1683,130002,71035
,Algeria,28.0339,1.6596,96815,0
,Andorra,42.5063,1.5218,13717,892711
,Angola,-11.2027,17.8739,33079,347254
,Antigua and Barbuda,17.0608,-61.7964,1221,3814890
,Argentina,-38.4161,-63.6167,4062245,556542
,Armenia,40.0691,45.0382,216718,349120
Australian Capital Territory,Australia,-35.4735,149.0124,121,109657
New South Wales,Australia,-33.8688,151.2093,0,49
Northern Territory,Australia,-12.4634,130.8456,174,49305
Queensland,Australia,-27.4698,153.0251,1635,2365464
South Australia,Australia,-34.9285,138.6007,784,1133063
Tasmania,Australia,-42.8821,147.3272,221,103
Victoria,Australia,-37.8136,144.9631,19861,8328
Western Australia,Australia,-31.9505,115.8605,1010,37596
,Austria,47.5162,14.5501,637613,194690
,Azerbaijan,40.1431,47.5769,330193,1390432
,Bahamas,25.025885,-78.035889,11544,752699
,Bahrain,26.0275,50.55,260363,373532
,Bangladesh,23.685,90.3563,811700,318352
,Barbados,13.1939,-59.5432,3999,464388
,Belarus,53.7098,27.9534,408878,479521
,Belgium,50.8333,4.469936,0,68964
,Belize,17.1899,-88.4976,12648,462078
,Benin,9.3077,2.3158,8000,709738
,Bhutan,27.5142,90.4336,1773,999119
,Bolivia,-16.2902,-63.5887,358851,605040
,Bosnia and Herzegovina,43.9159,17.6791,182986,320837
,Botswana,-22.3285,24.6849,63932,622472
,Brazil,-14.235,-51.9253,16277785,113529
,Brunei,4.5353,114.7277,245,224226
,Bulgaria,42.7339,25.4858,394469,331614
,Burkina Faso,12.2383,-1.5616,13301,99403
,Burma,21.9162,95.956,135992,1022680
,Burundi,-3.3731,29.9189,773,205290
,Cabo Verde,16.5388,-23.0418,31565,2113742
,Cambodia,11.55,104.9167,43473,1012343
,Cameroon,3.848,11.5021,35261,110657
,Canada,56.1304,-106.3468,1388473,183
,Central African Republic,6.6111,20.9394,6859,1110546
,Chad,15.4542,18.7322,4769,456910
,Chile,-35.6751,-71.543,1494284,207999
Anhui,China,31.8257,117.2264,998,1216037
Beijing,China,40.1824,116.4142,1055,139956
Chongqing,China,30.0572,107.874,591,152514
Fujian,China,26.0789,117.9874,623,596144
Gansu,China,35.7518,104.2861,192,124496
Guangdong,China,23.3417,113.4244,2571,866738
Guangxi,China,23.8298,108.7881,273,2994213
Guizhou,China,26.8154,106.8748,145,413668
Hainan,China,19.1959,109.7453,181,24392
Hebei,China,37.8957,114.9042,1310,3835
Heilongjiang,China,47.862,127.7615,1599,680060
Henan,China,33.882,113.614,1291,450404
Hong Kong,China,22.3,114.2,11628,163804
Hubei,China,30.9756,112.2707,63647,677252
Hunan,China,27.6104,111.7088,1047,61951
Inner Mongolia,China,44.0935,113.9448,391,
Jiangsu,China,32.9711,119.455,731,
Jiangxi,China,27.614,115.7221,936,
Jilin,China,43.6661,126.1923,570,
